"Gene","Protein","Protein names","UniProt Localization","HPA Localization","OpenCell Localization","SimChrom Category","SimChrom-SL Category","MS-based studies","Abundance, ppm","PFAM"
"undefinedCDX1","P47902","Homeobox protein CDX-1","null","null","null","Methylated DNA binding, DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Methylated DNA binding","null","0.291","Caudal_act(Caudal like protein activation region,PF04731);Homeodomain(Homeodomain,PF00046)"
"undefinedCDX2","Q99626","Homeobox protein CDX-2","Nucleus (ECO:0000250)","Nucleoplasm (Enhanced)","null","Methylated DNA binding, DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Methylated DNA binding","null","0.645","Caudal_act(Caudal like protein activation region,PF04731);Homeodomain(Homeodomain,PF00046)"
"undefinedCDX4","O14627","Homeobox protein CDX-4","Nucleus (ECO:0000255)","Cytosol (Approved), Nuclear speckles (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.028","Caudal_act(Caudal like protein activation region,PF04731);Homeodomain(Homeodomain,PF00046)"
"undefinedCEBPA","P49715","CCAAT/enhancer-binding protein alpha","Nucleolus (ECO:0000269), Nucleus (ECO:0000269)","Nucleoplasm (Supported), Vesicles (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs, Pioneer TFs","Pioneer TFs","Itzhak et al., 2016","0.408","null"
"undefinedCEBPB","P17676","CCAAT/enhancer-binding protein beta","Cytoplasm (ECO:0000269), Nucleus (ECO:0000269)","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs, Centromere-associated","Housekeeping DNA-binding TFs","Alabert et al., 2014; Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014; Ugur et al., 2023","10.7","null"
"undefinedCEBPD","P49716","CCAAT/enhancer-binding protein delta","Nucleus (ECO:0000305)","Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Alabert et al., 2014; Itzhak et al., 2016","2.66","null"
"undefinedCEBPE","Q15744","CCAAT/enhancer-binding protein epsilon","Nucleus (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.091","null"
"undefinedCEBPG","P53567","CCAAT/enhancer-binding protein gamma","Nucleus (ECO:0000250)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Itzhak et al., 2016","10.5","null"
"undefinedCIC","Q96RK0","Protein capicua homolog","Nucleus (ECO:0000255)","Nucleoplasm (Supported), Vesicles (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014","13.1","HMG_box(HMG (high mobility group) box,PF00505)"
"undefinedCLOCK","O15516","Circadian locomoter output cycles protein kaput","Cytoplasm (ECO:0000250), Cytosol (ECO:0000269), Nucleus (ECO:0000269)","Nucleoplasm (Supported), Vesicles (Approved)","null","Histone modification, Histone PTM writers, DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Histone PTM writers","Kustatscher et al., 2014","0.769","HLH(Helix-loop-helix DNA-binding domain,PF00010);PAS(PAS fold,PF00989);PAS_11(PAS domain,PF14598)"
"undefinedCPHXL","A0A1W2PPM1","Cytoplasmic polyadenylated homeobox-like protein","Nucleus (ECO:0000255)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","Homeodomain(Homeodomain,PF00046)"
"undefinedCPHXL2","A0A1W2PPK0","Cytoplasmic polyadenylated homeobox-like protein 2","Nucleus (ECO:0000255)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","null"
"undefinedCREB1","P16220","Cyclic AMP-responsive element-binding protein 1","Nucleus (ECO:0000255), Nucleus (ECO:0000269)","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs, Euchromatin-associated","Housekeeping DNA-binding TFs","Ginno et al., 2018; Itzhak et al., 2016; Shi et al., 2021","45","pKID(pKID domain,PF02173)"
"undefinedCREB3","O43889","Cyclic AMP-responsive element-binding protein 3","Cytoplasm (ECO:0000269), Endoplasmic reticulum membrane (ECO:0000269), Golgi apparatus (ECO:0000269), Nucleus (ECO:0000269)","Cytosol (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.017","null"
"undefinedCREB3L1","Q96BA8","Cyclic AMP-responsive element-binding protein 3-like protein 1","Endoplasmic reticulum membrane (ECO:0000269), Nucleus (ECO:0000269)","Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.021","null"
"undefinedCREB3L2","Q70SY1","Cyclic AMP-responsive element-binding protein 3-like protein 2","Endoplasmic reticulum membrane (ECO:0000250)","Endoplasmic reticulum (Approved), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.363","null"
"undefinedCREB3L3","Q68CJ9","Cyclic AMP-responsive element-binding protein 3-like protein 3","Endoplasmic reticulum membrane (ECO:0000269), Nucleus (ECO:0000269)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.005","null"
"undefinedCREB3L4","Q8TEY5","Cyclic AMP-responsive element-binding protein 3-like protein 4","Golgi apparatus membrane (ECO:0000305)","Mitochondria (Approved), Nuclear membrane (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","1.02","null"
"undefinedCREB5","Q02930","Cyclic AMP-responsive element-binding protein 5","Nucleus (ECO:0000305)","Nucleoplasm (Approved), Plasma membrane (Approved), Vesicles (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.49","null"
"undefinedCREBL2","O60519","cAMP-responsive element-binding protein-like 2","Nucleus (ECO:0000250)","Cytosol (Approved), Mitochondria (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.183","null"
"undefinedCREBRF","Q8IUR6","CREB3 regulatory factor","Nucleus (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.052","null"
"undefinedCREBZF","Q9NS37","CREB/ATF bZIP transcription factor","Nucleus (ECO:0000269)","Mitochondria (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.225","null"
"undefinedCREM","Q03060","cAMP-responsive element modulator","Cytoplasm (ECO:0000250), Nucleus (ECO:0000250)","Nucleoplasm (Supported), Vesicles (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Alabert et al., 2014","2.39","pKID(pKID domain,PF02173)"
"undefinedCRX","O43186","Cone-rod homeobox protein","Nucleus (ECO:0000255)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.333","Homeodomain(Homeodomain,PF00046);TF_Otx(Otx1 transcription factor,PF03529)"
"undefinedCSRNP1","Q96S65","Cysteine/serine-rich nuclear protein 1","Nucleus (ECO:0000250)","Nucleoplasm (Enhanced), Vesicles (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","null","CSRNP_N(Cysteine/serine-rich nuclear protein N-terminus,PF16019)"
"undefinedCSRNP2","Q9H175","Cysteine/serine-rich nuclear protein 2","Nucleus (ECO:0000250)","Nuclear speckles (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.047","CSRNP_N(Cysteine/serine-rich nuclear protein N-terminus,PF16019)"
"undefinedCSRNP3","Q8WYN3","Cysteine/serine-rich nuclear protein 3","Nucleus (ECO:0000250)","Nucleoli rim (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.0004","CSRNP_N(Cysteine/serine-rich nuclear protein N-terminus,PF16019)"
"undefinedCTCF","P49711","Transcriptional repressor CTCF","Centromere (ECO:0000269), Chromosome (ECO:0000269), Nucleoplasm (ECO:0000269)","Nucleoplasm (Supported)","chromatin (annotations_grade_2), nucleoplasm (annotations_grade_3)","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs, Centromere-associated","Housekeeping DNA-binding TFs","Alabert et al., 2014; Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014; Shi et al., 2021; Ugur et al., 2023","24.6","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-H2C2_5(C2H2-type zinc-finger domain,PF13909);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedCTCFL","Q8NI51","Transcriptional repressor CTCFL","null","Cytosol (Approved), Nuclear bodies (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Shi et al., 2021","0.372","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedCUX1","P39880","Homeobox protein cut-like 1","Nucleus (ECO:0000269)","Golgi apparatus (Supported), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Alabert et al., 2014; Kustatscher et al., 2014; Shi et al., 2021","9.11","CUT(CUT domain,PF02376);CUT(CUT domain,PF02376);CUT(CUT domain,PF02376);Homeodomain(Homeodomain,PF00046)"
"undefinedCUX2","O14529","Homeobox protein cut-like 2","Nucleus (ECO:0000255)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.446","CUT(CUT domain,PF02376);CUT(CUT domain,PF02376);CUT(CUT domain,PF02376);Homeodomain(Homeodomain,PF00046)"
"undefinedDACH1","Q9UI36","Dachshund homolog 1","Nucleus (ECO:0000269)","Nuclear speckles (Supported), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Kustatscher et al., 2014","3.15","Ski_Sno(SKI/SNO/DAC family,PF02437)"
"undefinedDACH2","Q96NX9","Dachshund homolog 2","Nucleus (ECO:0000305)","Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.164","Ski_Sno(SKI/SNO/DAC family,PF02437)"
"undefinedDBP","Q10586","D site-binding protein","null","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","2.14","null"
"undefinedDBX1","A6NMT0","Homeobox protein DBX1","Nucleus (ECO:0000255)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","Homeodomain(Homeodomain,PF00046)"
"undefinedDBX2","Q6ZNG2","Homeobox protein DBX2","Nucleus (ECO:0000255)","Nuclear membrane (Approved), Nucleoplasm (Approved), Vesicles (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","Homeodomain(Homeodomain,PF00046)"
"undefinedDDIT3","P35638","DNA damage-inducible transcript 3 protein","Cytoplasm (ECO:0000269), Nucleus (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.253","null"
"undefinedDDN","O94850","Dendrin","Endoplasmic reticulum membrane (ECO:0000250), Nucleus (ECO:0000250), Perikaryon (ECO:0000250)","Cytosol (Supported), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.357","Dendrin(Nephrin and CD2AP-binding protein, Dendrin,PF15498)"
"undefinedDEAF1","O75398","Deformed epidermal autoregulatory factor 1 homolog","null","Nucleoli fibrillar center (Approved), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Itzhak et al., 2016","2.25","SAND(SAND domain,PF01342);zf-MYND(MYND finger,PF01753)"
"undefinedDLX1","P56177","Homeobox protein DLX-1","Nucleus (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Itzhak et al., 2016","0.067","Homeodomain(Homeodomain,PF00046)"
"undefinedDLX2","Q07687","Homeobox protein DLX-2","Nucleus (ECO:0000305)","Nuclear speckles (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Itzhak et al., 2016","0.714","DLL_N(Homeobox protein distal-less-like N terminal ,PF12413);Homeodomain(Homeodomain,PF00046)"
"undefinedDLX3","O60479","Homeobox protein DLX-3","Nucleus (ECO:0000255)","Cytosol (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Itzhak et al., 2016","0.015","DLL_N(Homeobox protein distal-less-like N terminal ,PF12413);Homeodomain(Homeodomain,PF00046)"
"undefinedDLX4","Q92988","Homeobox protein DLX-4","Nucleus (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","Homeodomain(Homeodomain,PF00046)"
"undefinedDLX5","P56178","Homeobox protein DLX-5","Nucleus (ECO:0000255)","Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.013","DLL_N(Homeobox protein distal-less-like N terminal ,PF12413);Homeodomain(Homeodomain,PF00046)"
"undefinedDLX6","P56179","Homeobox protein DLX-6","Nucleus (ECO:0000255)","Nuclear bodies (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.126","Homeodomain(Homeodomain,PF00046)"
"undefinedDMBX1","Q8NFW5","Diencephalon/mesencephalon homeobox protein 1","Nucleus (ECO:0000250), Nucleus (ECO:0000255)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","Homeodomain(Homeodomain,PF00046)"
"undefinedDMRT1","Q9Y5R6","Doublesex- and mab-3-related transcription factor 1","Nucleus (ECO:0000255)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.281","DM(DM DNA binding domain,PF00751);Dmrt1(Double-sex mab3 related transcription factor 1,PF12374)"
"undefinedDMRT2","Q9Y5R5","Doublesex- and mab-3-related transcription factor 2","Nucleus (ECO:0000255)","Nucleoli (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.0007","DM(DM DNA binding domain,PF00751)"
"undefinedDMRT3","Q9NQL9","Doublesex- and mab-3-related transcription factor 3","Nucleus (ECO:0000255)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.059","DM(DM DNA binding domain,PF00751);DMA(DMRTA motif,PF03474)"
